Series Name	Series Code	Country Name	Country Code	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]	2016 [YR2016]	2017 [YR2017]	2018 [YR2018]	2019 [YR2019]
Refugee population by country or territory of origin	SM.POP.REFG.OR	India	IND	17766	16226	14245	11032	10431	9882	7288	7926	9586	11979
Refugee population by country or territory of origin	SM.POP.REFG.OR	Indonesia	IDN	16882	16069	15514	14775	14393	13947	13056	12485	12148	12051
Refugee population by country or territory of origin	SM.POP.REFG.OR	Iran, Islamic Rep.	IRN	68786	72366	75934	75061	82202	84950	94103	118640	129941	129676
Refugee population by country or territory of origin	SM.POP.REFG.OR	Iraq	IRQ	1683576	1428306	746204	401461	369960	264086	316056	362536	372332	344460
Refugee population by country or territory of origin	SM.POP.REFG.OR	Ireland	IRL	7	7	7	7	7	5	..	..	..	..
Refugee population by country or territory of origin	SM.POP.REFG.OR	Isle of Man	IMN	..	..	..	..	..	..	..	..	..	..
Refugee population by country or territory of origin	SM.POP.REFG.OR	Israel	ISR	1290	1323	1326	1026	967	787	487	469	492	452
Refugee population by country or territory of origin	SM.POP.REFG.OR	Italy	ITA	45	57	65	64	63	69	49	52	69	76
Refugee population by country or territory of origin	SM.POP.REFG.OR	Jamaica	JAM	1055	1248	1404	1501	1682	1857	1998	2224	2448	2529
Refugee population by country or territory of origin	SM.POP.REFG.OR	Japan	JPN	149	176	173	154	257	140	53	44	42	39
Refugee population by country or territory of origin	SM.POP.REFG.OR	Jordan	JOR	2250	2244	2363	1622	1711	1836	1919	2119	2426	2384
Refugee population by country or territory of origin	SM.POP.REFG.OR	Kazakhstan	KAZ	3631	3497	3567	2114	2219	2263	2366	2406	2520	2757
Refugee population by country or territory of origin	SM.POP.REFG.OR	Kenya	KEN	8585	8731	8946	8580	8546	7902	7526	7567	7480	8018
Refugee population by country or territory of origin	SM.POP.REFG.OR	Kiribati	KIR	31	31	34	21	5	..	..	..	..	..
Refugee population by country or territory of origin	SM.POP.REFG.OR	Korea, Dem. People’s Rep.	PRK	915	1046	1126	1163	1275	1094	1419	1176	797	758
Refugee population by country or territory of origin	SM.POP.REFG.OR	Korea, Rep.	KOR	578	508	555	495	478	346	243	239	274	180
Refugee population by country or territory of origin	SM.POP.REFG.OR	Kosovo	XKX	..	..	..	..	..	..	..	..	..	..
Refugee population by country or territory of origin	SM.POP.REFG.OR	Kuwait	KWT	986	1112	1189	971	974	1076	1013	1097	1251	1300
Refugee population by country or territory of origin	SM.POP.REFG.OR	Kyrgyz Republic	KGZ	2748	3163	3490	2299	2449	2498	2571	2771	2934	2963
Refugee population by country or territory of origin	SM.POP.REFG.OR	Lao PDR	LAO	8412	8086	7981	7736	7476	7359	7229	7056	6943	6757
Refugee population by country or territory of origin	SM.POP.REFG.OR	Latvia	LVA	712	706	662	228	206	187	165	162	152	144
Refugee population by country or territory of origin	SM.POP.REFG.OR	Lebanon	LBN	15864	15004	15100	3809	4262	4353	4719	5302	5621	5801
Refugee population by country or territory of origin	SM.POP.REFG.OR	Lesotho	LSO	5	5	5	10	16	16	5	6	6	6
Refugee population by country or territory of origin	SM.POP.REFG.OR	Liberia	LBR	70134	66780	23428	17548	13561	9972	6558	6039	5508	5375
Refugee population by country or territory of origin	SM.POP.REFG.OR	Libya	LBY	2297	4372	5234	3298	4187	6077	8831	11205	13868	16033
Refugee population by country or territory of origin	SM.POP.REFG.OR	Liechtenstein	LIE	..	..	..	..	..	..	..	..	..	..
Refugee population by country or territory of origin	SM.POP.REFG.OR	Lithuania	LTU	508	523	487	217	182	143	74	73	66	61
Refugee population by country or territory of origin	SM.POP.REFG.OR	Luxembourg	LUX	..	..	..	..	..	..	..	..	..	5
Refugee population by country or territory of origin	SM.POP.REFG.OR	Macao SAR, China	MAC	8	8	..	..	5	5	5	..	..	..
Refugee population by country or territory of origin	SM.POP.REFG.OR	Madagascar	MDG	266	287	299	298	279	285	292	292	298	298
Refugee population by country or territory of origin	SM.POP.REFG.OR	Malawi	MWI	168	216	273	323	356	429	427	434	472	606
Refugee population by country or territory of origin	SM.POP.REFG.OR	Malaysia	MYS	550	531	523	478	458	435	453	540	817	1154
Refugee population by country or territory of origin	SM.POP.REFG.OR	Maldives	MDV	16	21	22	30	32	39	58	64	74	75
Refugee population by country or territory of origin	SM.POP.REFG.OR	Mali	MLI	3659	4289	149930	152812	139249	154202	156415	150305	158267	164461
Refugee population by country or territory of origin	SM.POP.REFG.OR	Malta	MLT	5	5	5	5	..	..	..	..	5	5
Refugee population by country or territory of origin	SM.POP.REFG.OR	Marshall Islands	MHL	..	..	..	5	5	5	5	7	7	7
Refugee population by country or territory of origin	SM.POP.REFG.OR	Mauritania	MRT	37721	39919	33747	34239	34103	34656	36263	36525	37050	37423
Refugee population by country or territory of origin	SM.POP.REFG.OR	Mauritius	MUS	25	36	57	72	91	101	106	130	156	178
Refugee population by country or territory of origin	SM.POP.REFG.OR	Mexico	MEX	6809	7471	8438	9396	10672	11340	10387	11679	12870	14621
Refugee population by country or territory of origin	SM.POP.REFG.OR	Micronesia, Fed. Sts.	FSM	..	..	..	..	..	..	..	..	..	..
Refugee population by country or territory of origin	SM.POP.REFG.OR	Moldova	MDA	6204	6261	6148	2210	2230	2289	2316	2339	2397	2427
Refugee population by country or territory of origin	SM.POP.REFG.OR	Monaco	MCO	..	5	5	5	5	5	5	5	5	5
Refugee population by country or territory of origin	SM.POP.REFG.OR	Mongolia	MNG	1720	1982	2111	2054	2162	2198	2282	2227	2249	2364
Refugee population by country or territory of origin	SM.POP.REFG.OR	Montenegro	MNE	3243	3699	4052	542	601	646	713	704	715	659
Refugee population by country or territory of origin	SM.POP.REFG.OR	Morocco	MAR	2276	2305	2394	1290	1523	1760	2240	3089	3873	4637
Refugee population by country or territory of origin	SM.POP.REFG.OR	Mozambique	MOZ	120	147	155	51	55	55	48	48	57	77
Refugee population by country or territory of origin	SM.POP.REFG.OR	Myanmar	MMR	415662	414615	415363	479594	479006	451804	490285	1156742	1145149	1078268
Refugee population by country or territory of origin	SM.POP.REFG.OR	Namibia	NAM	1013	1067	1097	1138	1250	1272	1363	1368	1331	459
Refugee population by country or territory of origin	SM.POP.REFG.OR	Nauru	NRU	..	..	..	..	..	..	..	..	..	..
Refugee population by country or territory of origin	SM.POP.REFG.OR	Nepal	NPL	5883	6847	7603	8100	8547	9052	8365	8414	8589	8192
Refugee population by country or territory of origin	SM.POP.REFG.OR	Netherlands	NLD	52	61	69	59	63	64	32	39	41	55
Refugee population by country or territory of origin	SM.POP.REFG.OR	New Caledonia	NCL	..	..	..	..	..	..	..	..	..	..
Refugee population by country or territory of origin	SM.POP.REFG.OR	New Zealand	NZL	11	13	19	15	14	16	25	34	34	34
Refugee population by country or territory of origin	SM.POP.REFG.OR	Nicaragua	NIC	1426	1464	1526	1530	1580	1469	1409	1467	1671	4376
Refugee population by country or territory of origin	SM.POP.REFG.OR	Niger	NER	794	805	824	674	728	1383	1230	1363	2715	3063
Refugee population by country or territory of origin	SM.POP.REFG.OR	Nigeria	NGA	15645	17141	18017	31173	90936	167973	229291	238977	276834	295569
Refugee population by country or territory of origin	SM.POP.REFG.OR	North Macedonia	MKD	7880	7677	7582	1622	1752	1769	1730	1653	1721	1784
Refugee population by country or territory of origin	SM.POP.REFG.OR	Northern Mariana Islands	MNP	..	..	..	..	..	..	..	..	..	..
Refugee population by country or territory of origin	SM.POP.REFG.OR	Norway	NOR	..	5	5	15	15	10	10	15	5	5
Refugee population by country or territory of origin	SM.POP.REFG.OR	Oman	OMN	62	58	62	20	25	36	35	39	42	42
Refugee population by country or territory of origin	SM.POP.REFG.OR	Pakistan	PAK	39979	35948	49778	48678	335947	297886	105421	128916	132249	137190
Refugee population by country or territory of origin	SM.POP.REFG.OR	Palau	PLW	..	..	..	..	..	..	..	..	..	..
Refugee population by country or territory of origin	SM.POP.REFG.OR	Panama	PAN	94	98	107	99	83	62	33	36	44	45
Refugee population by country or territory of origin	SM.POP.REFG.OR	Papua New Guinea	PNG	87	126	172	219	285	335	401	406	424	475
Refugee population by country or territory of origin	SM.POP.REFG.OR	Paraguay	PRY	86	91	101	91	87	88	68	77	73	84
Refugee population by country or territory of origin	SM.POP.REFG.OR	Peru	PER	5834	5488	5207	4762	4333	3591	2599	2588	2579	2765
Refugee population by country or territory of origin	SM.POP.REFG.OR	Philippines	PHL	964	945	979	718	661	583	426	443	520	552
Refugee population by country or territory of origin	SM.POP.REFG.OR	Poland	POL	1758	1811	1638	1428	1306	1298	1159	1123	1085	961
Refugee population by country or territory of origin	SM.POP.REFG.OR	Portugal	PRT	29	29	32	27	30	28	20	16	20	25
Refugee population by country or territory of origin	SM.POP.REFG.OR	Puerto Rico	PRI	..	..	..	..	..	..	..	..	..	..
Refugee population by country or territory of origin	SM.POP.REFG.OR	Qatar	QAT	109	93	123	15	23	21	25	31	30	36
Refugee population by country or territory of origin	SM.POP.REFG.OR	Romania	ROU	3926	3422	2802	2331	1917	1731	1195	1210	1155	1352
Refugee population by country or territory of origin	SM.POP.REFG.OR	Russian Federation	RUS	111944	109783	110587	74310	70552	67008	62759	61584	61457	62343
Refugee population by country or territory of origin	SM.POP.REFG.OR	Rwanda	RWA	115519	106832	97357	83943	79396	286357	286063	258986	247469	246698
Refugee population by country or territory of origin	SM.POP.REFG.OR	Samoa	WSM	..	..	..	..	..	..	..	..	..	..
Refugee population by country or territory of origin	SM.POP.REFG.OR	San Marino	SMR	..	..	..	..	..	..	..	..	..	..
Refugee population by country or territory of origin	SM.POP.REFG.OR	Sao Tome and Principe	STP	32	32	31	31	24	24	31	31	31	28
Refugee population by country or territory of origin	SM.POP.REFG.OR	Saudi Arabia	SAU	659	733	811	575	616	686	937	1219	1492	1762
Refugee population by country or territory of origin	SM.POP.REFG.OR	Senegal	SEN	16255	17710	18717	19815	23110	21267	23054	26584	18208	17203
Refugee population by country or territory of origin	SM.POP.REFG.OR	Serbia	SRB	183284	161664	158903	48725	45730	38621	36928	33246	32368	31251
Refugee population by country or territory of origin	SM.POP.REFG.OR	Seychelles	SYC	47	39	30	24	23	19	10	10	15	15
Refugee population by country or territory of origin	SM.POP.REFG.OR	Sierra Leone	SLE	11261	7985	6191	5305	4988	4900	4678	4496	4846	5268
Refugee population by country or territory of origin	SM.POP.REFG.OR	Singapore	SGP	74	65	64	61	55	50	38	48	46	39
Refugee population by country or territory of origin	SM.POP.REFG.OR	Sint Maarten (Dutch part)	SXM	..	..	..	..	..	..	..	..	..	..
Refugee population by country or territory of origin	SM.POP.REFG.OR	Slovak Republic	SVK	157	271	231	321	316	325	792	913	1218	1343
Refugee population by country or territory of origin	SM.POP.REFG.OR	Slovenia	SVN	35	30	32	27	25	21	20	17	19	19
Refugee population by country or territory of origin	SM.POP.REFG.OR	Solomon Islands	SLB	75	72	60	60	70	71	71	57	33	27
Refugee population by country or territory of origin	SM.POP.REFG.OR	Somalia	SOM	770143	1077038	1136710	1121760	1106430	1123144	1012320	986386	949637	905109
Refugee population by country or territory of origin	SM.POP.REFG.OR	South Africa	ZAF	374	422	413	424	422	447	452	461	482	441
Refugee population by country or territory of origin	SM.POP.REFG.OR	South Sudan	SSD	..	..	87007	114469	616206	778722	1436707	2439888	2285301	2234814
Refugee population by country or territory of origin	SM.POP.REFG.OR	Spain	ESP	41	42	55	56	60	60	34	39	46	51
Refugee population by country or territory of origin	SM.POP.REFG.OR	Sri Lanka	LKA	141065	136600	132718	123075	121991	121427	117472	115632	113955	110348
Refugee population by country or territory of origin	SM.POP.REFG.OR	St. Kitts and Nevis	KNA	10	7	10	12	20	25	49	51	58	57
Refugee population by country or territory of origin	SM.POP.REFG.OR	St. Lucia	LCA	334	432	567	711	921	1011	993	995	1025	843
Refugee population by country or territory of origin	SM.POP.REFG.OR	St. Martin (French part)	MAF	..	..	..	..	..	..	..	..	..	..
Refugee population by country or territory of origin	SM.POP.REFG.OR	St. Vincent and the Grenadines	VCT	946	1126	1315	1535	1736	1823	1335	1311	1258	979
Refugee population by country or territory of origin	SM.POP.REFG.OR	Sudan	SDN	387265	500005	568935	648936	665956	627080	650391	694556	724787	734947
Refugee population by country or territory of origin	SM.POP.REFG.OR	Suriname	SUR	24	22	14	17	17	19	16	17	22	17
Refugee population by country or territory of origin	SM.POP.REFG.OR	Sweden	SWE	23	23	21	18	18	18	13	14	16	13
Refugee population by country or territory of origin	SM.POP.REFG.OR	Switzerland	CHE	20	20	16	11	16	16	5	5	5	5
Refugee population by country or territory of origin	SM.POP.REFG.OR	Syrian Arab Republic	SYR	18451	19931	729012	2468323	3887490	4873236	5524511	6310498	6654374	6616983
Refugee population by country or territory of origin	SM.POP.REFG.OR	Tajikistan	TJK	573	604	669	657	722	790	932	1369	1695	1987
Refugee population by country or territory of origin	SM.POP.REFG.OR	Tanzania	TZA	1135	1154	1109	1033	843	810	579	655	723	849
Refugee population by country or territory of origin	SM.POP.REFG.OR	Thailand	THA	351	365	380	218	225	210	148	164	183	482
Refugee population by country or territory of origin	SM.POP.REFG.OR	Timor-Leste	TLS	8	8	8	8	13	19	19	13	12	17
Refugee population by country or territory of origin	SM.POP.REFG.OR	Togo	TGO	18308	17853	15683	10302	9272	8774	8296	8115	8029	8022
Refugee population by country or territory of origin	SM.POP.REFG.OR	Tonga	TON	5	7	11	16	19	22	25	34	32	32
Refugee population by country or territory of origin	SM.POP.REFG.OR	Trinidad and Tobago	TTO	252	296	335	336	371	369	295	310	323	307
Refugee population by country or territory of origin	SM.POP.REFG.OR	Tunisia	TUN	2160	1931	1919	1359	1476	1554	1687	1826	1985	2068
Refugee population by country or territory of origin	SM.POP.REFG.OR	Turkey	TUR	146786	139764	135355	66558	63882	59545	57915	61383	68900	83271
Refugee population by country or territory of origin	SM.POP.REFG.OR	Turkmenistan	TKM	723	711	708	502	470	446	371	365	457	478
Refugee population by country or territory of origin	SM.POP.REFG.OR	Turks and Caicos Islands	TCA	..	14	14	15	15	14	14	14	14	14
Refugee population by country or territory of origin	SM.POP.REFG.OR	Tuvalu	TUV	..	..	..	..	..	..	..	..	..	..
Refugee population by country or territory of origin	SM.POP.REFG.OR	Uganda	UGA	6421	5658	5588	8166	7177	6311	6229	6409	7034	7479
Refugee population by country or territory of origin	SM.POP.REFG.OR	Ukraine	UKR	25102	25372	25248	5154	237617	321399	239062	139581	93248	59839
Refugee population by country or territory of origin	SM.POP.REFG.OR	United Arab Emirates	ARE	418	484	580	84	84	91	103	137	169	155
Refugee population by country or territory of origin	SM.POP.REFG.OR	United Kingdom	GBR	152	150	150	140	137	128	78	85	84	69
Refugee population by country or territory of origin	SM.POP.REFG.OR	United States	USA	3019	3775	4454	4755	4980	4824	302	310	333	298
Refugee population by country or territory of origin	SM.POP.REFG.OR	Uruguay	URY	185	183	168	144	119	84	23	12	7	15
Refugee population by country or territory of origin	SM.POP.REFG.OR	Uzbekistan	UZB	8841	12667	11593	4953	4790	4197	3824	3405	3276	3217
Refugee population by country or territory of origin	SM.POP.REFG.OR	Vanuatu	VUT	..	..	..	..	..	..	..	..	..	..
Refugee population by country or territory of origin	SM.POP.REFG.OR	Venezuela, RB	VEN	6697	7575	8204	8396	8009	7455	7543	9272	21047	93280
Refugee population by country or territory of origin	SM.POP.REFG.OR	Vietnam	VNM	338707	337828	336936	314110	313421	313152	329341	334064	334464	316441
Refugee population by country or territory of origin	SM.POP.REFG.OR	Virgin Islands (U.S.)	VIR	..	..	..	..	..	..	..	..	..	..
Refugee population by country or territory of origin	SM.POP.REFG.OR	West Bank and Gaza	PSE	93312	94142	94917	96035	97207	98013	97794	99630	100728	96318
Refugee population by country or territory of origin	SM.POP.REFG.OR	Yemen, Rep.	YEM	2070	2321	2582	2413	2623	15901	18427	23555	31145	36518
Refugee population by country or territory of origin	SM.POP.REFG.OR	Zambia	ZMB	221	234	240	230	309	334	256	260	266	261
Refugee population by country or territory of origin	SM.POP.REFG.OR	Zimbabwe	ZWE	24080	25033	22082	19719	22478	21332	18141	17420	15618	10603
Refugee population by country or territory of origin	SM.POP.REFG.OR	Arab World	ARB	3034191	3205248	3358921	4804187	6199852	7077036	7703238	8568735	8933134	8841562
Refugee population by country or territory of origin	SM.POP.REFG.OR	Caribbean small states	CSS	3857	4560	5138	5641	6199	6332	5657	6010	6356	6080
Refugee population by country or territory of origin	SM.POP.REFG.OR	Central Europe and the Baltics	CEB	78005	73955	72761	58733	48642	41463	34913	33979	33864	33676
Refugee population by country or territory of origin	SM.POP.REFG.OR	Early-demographic dividend	EAR	1259115	1246115	1957054	3653182	5372022	6515087	7008880	8517766	8911634	8930539
